	Tags	SeqName	#Hits	Description	Length	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_1	20	threonine/homoserine exporter RhtA	888	1.17E-190	98.93	11	P:GO:0006855; P:GO:0009410; P:GO:0015826; P:GO:0098655; P:GO:0098656; P:GO:1902475; F:GO:0008324; F:GO:0008509; F:GO:0015565; F:GO:0042910; C:GO:0005886	P:xenobiotic transmembrane transport; P:response to xenobiotic stimulus; P:threonine transport; P:monoatomic cation transmembrane transport; P:monoatomic anion transmembrane transport; P:L-alpha-amino acid transmembrane transport; F:monoatomic cation transmembrane transporter activity; F:monoatomic anion transmembrane transporter activity; F:threonine efflux transmembrane transporter activity; F:xenobiotic transmembrane transporter activity; C:plasma membrane			NF007823 (NCBIFAM); IPR000620 (PFAM); IPR051258 (PANTHER); SSF103481 (SUPERFAMILY); SSF103481 (SUPERFAMILY)	C:GO:0016020	C:membrane
true	[INTERPRO, NO-BLAST]	contig_1_RagTag_2		-	219								no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_3	20	TetR/AcrR family transcriptional regulator	570	5.8E-127	95.81	1	F:GO:0003677	F:DNA binding			G3DSA:1.10.357.10 (GENE3D); G3DSA:1.10.10.60 (GENE3D); IPR001647 (PFAM); PTHR47506 (PANTHER); IPR001647 (PROSITE_PROFILES); IPR036271 (SUPERFAMILY); IPR009057 (SUPERFAMILY)	F:GO:0003677	F:DNA binding
true	[INTERPRO, BLASTED]	contig_1_RagTag_4	20	MULTISPECIES: SDR family oxidoreductase	741	6.11E-173	97.42						IPR002347 (PRINTS); G3DSA:3.40.50.720 (GENE3D); IPR002347 (PFAM); PIRSR000094-3 (PIRSR); PIRSR611284-2 (PIRSR); PIRSR617711-2 (PIRSR); PIRSR614007-2 (PIRSR); PIRSR000094-2 (PIRSR); PTHR43431 (PANTHER); cd05373 (CDD); IPR036291 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_5	20	2-hydroxychromene-2-carboxylate isomerase	594	4.95E-141	96.33	6	P:GO:0006749; P:GO:0098869; P:GO:1901170; F:GO:0004364; F:GO:0004602; F:GO:0018845	P:glutathione metabolic process; P:cellular oxidant detoxification; P:naphthalene catabolic process; F:glutathione transferase activity; F:glutathione peroxidase activity; F:2-hydroxychromene-2-carboxylate isomerase activity	EC:2.5.1; EC:5.99.1.4; EC:2.5.1.18; EC:1.11; EC:1; EC:2; EC:5.3; EC:5; EC:1.11.1; EC:1.11.1.9	Transferring alkyl or aryl groups, other than methyl groups; 2-hydroxychromene-2-carboxylate isomerase; glutathione transferase; Acting on a peroxide as acceptor; Oxidoreductases; Transferases; Intramolecular oxidoreductases; Isomerases; Acting on a peroxide as acceptor; glutathione peroxidase	G3DSA:3.40.30.10 (GENE3D); IPR001853 (PFAM); IPR014440 (PIRSF); PIRSR006386-1 (PIRSR); IPR051924 (PANTHER); IPR044087 (CDD); IPR036249 (SUPERFAMILY)	P:GO:0006749; P:GO:1901170; F:GO:0004364; F:GO:0004602; F:GO:0016491; F:GO:0018845	P:glutathione metabolic process; P:naphthalene catabolic process; F:glutathione transferase activity; F:glutathione peroxidase activity; F:oxidoreductase activity; F:2-hydroxychromene-2-carboxylate isomerase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_6	20	aminopeptidase P family protein	1941	0.0	90.18	2	F:GO:0070006; C:GO:0005737	F:metalloaminopeptidase activity; C:cytoplasm	EC:3.4.11; EC:3.4.11.1; EC:3.4.11.6; EC:3.4.11.5; EC:3.4.11.9; EC:3.4; EC:3; EC:3.4.11.21; EC:3.4.11.22	Acting on peptide bonds (peptidases); leucyl aminopeptidase; aminopeptidase B; prolyl aminopeptidase; Xaa-Pro aminopeptidase; Acting on peptide bonds (peptidases); Hydrolases; aspartyl aminopeptidase; aminopeptidase I	G3DSA:3.90.230.10:FF:000004 (FUNFAM); PF16189 (PFAM); IPR000587 (PFAM); IPR036005 (G3DSA:3.90.230.GENE3D); IPR029149 (G3DSA:3.40.350.GENE3D); IPR032416 (PFAM); IPR000994 (PFAM); IPR029149 (G3DSA:3.40.350.GENE3D); IPR050422 (PANTHER); IPR033740 (CDD); IPR029149 (SUPERFAMILY); IPR036005 (SUPERFAMILY)	F:GO:0070006	F:metalloaminopeptidase activity
true	[INTERPRO, BLASTED]	contig_1_RagTag_7	20	aminotransferase class V-fold PLP-dependent enzyme	1170	3.21E-265	98.6				EC:2.8.1.7	cysteine desulfurase	G3DSA:3.40.640.10:FF:000003 (FUNFAM); IPR015422 (G3DSA:3.90.1150.GENE3D); IPR015421 (G3DSA:3.40.640.GENE3D); IPR000192 (PFAM); IPR016454 (PIRSF); PIRSR000412-50 (PIRSR); PIRSR602129-50 (PIRSR); PTHR11601 (PANTHER); IPR015424 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_8	20	MULTISPECIES: LysE family translocator	615	6.68E-138	98.08	3	P:GO:0033228; F:GO:0015171; C:GO:0005886	P:cysteine export across plasma membrane; F:amino acid transmembrane transporter activity; C:plasma membrane			IPR001123 (PFAM); IPR001123 (PANTHER)	P:GO:0006865; P:GO:0033228; F:GO:0015171; C:GO:0005886; C:GO:0016020	P:amino acid transport; P:cysteine export across plasma membrane; F:amino acid transmembrane transporter activity; C:plasma membrane; C:membrane
true	[INTERPRO, BLASTED]	contig_1_RagTag_9	20	hypothetical protein	261	9.56E-52	93.89						PS51257 (PROSITE_PROFILES)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_10	20	FMN reductase	564	7.07E-127	97.35	1	F:GO:0016655	F:oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	EC:1.5.1.38; EC:1.6; EC:1; EC:1.6.5	FMN reductase (NADPH); Acting on NADH or NADPH; Oxidoreductases; Acting on NADH or NADPH	IPR005025 (PFAM); IPR029039 (G3DSA:3.40.50.GENE3D); IPR019912 (NCBIFAM); IPR051814 (PANTHER); IPR029039 (SUPERFAMILY)	F:GO:0016491	F:oxidoreductase activity
true	[INTERPRO, BLASTED, ANNOTATED]	contig_1_RagTag_11	20	LLM class flavin-dependent oxidoreductase, partial	306	6.02E-59	99.25	2	P:GO:0046306; F:GO:0008726	P:alkanesulfonate catabolic process; F:alkanesulfonate monooxygenase activity	EC:1.14.14.1; EC:1; EC:1.14.14; EC:1.14; EC:1.14.14.5	unspecific monooxygenase; Oxidoreductases; Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2; Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2; alkanesulfonate monooxygenase	IPR011251 (PFAM); IPR036661 (G3DSA:3.20.20.GENE3D); IPR050172 (PANTHER); IPR036661 (SUPERFAMILY)	P:GO:0046306; F:GO:0008726; F:GO:0016705	P:alkanesulfonate catabolic process; F:alkanesulfonate monooxygenase activity; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
