	Tags	SeqName	#Hits	Description	Length	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_1	20	MULTISPECIES: MFS transporter	1299	2.09E-301	99.48	3	P:GO:0098655; F:GO:0015294; C:GO:0005886	P:monoatomic cation transmembrane transport; F:solute:monoatomic cation symporter activity; C:plasma membrane			G3DSA:1.20.1250.20:FF:000095 (FUNFAM); NF007710 (NCBIFAM); IPR036259 (G3DSA:1.20.1250.GENE3D); IPR005828 (PFAM); IPR004736 (NCBIFAM); IPR036259 (G3DSA:1.20.1250.GENE3D); IPR051084 (PANTHER); IPR020846 (PROSITE_PROFILES); cd17367 (CDD); IPR036259 (SUPERFAMILY)	P:GO:0055085; F:GO:0022857; C:GO:0016020	P:transmembrane transport; F:transmembrane transporter activity; C:membrane
true	[INTERPRO, BLASTED]	contig_1_RagTag_2	20	MULTISPECIES: YfiM family lipoprotein	330	2.95E-72	99.2						NF008028 (NCBIFAM); IPR018736 (PFAM); IPR017028 (PIRSF); PTHR35462 (PANTHER); PS51257 (PROSITE_PROFILES)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_3	20	MULTISPECIES: CDP-diacylglycerol--serine O-phosphatidyltransferase	1356	0.0	99.55	5	P:GO:0032049; F:GO:0003882; F:GO:0008444; C:GO:0005829; C:GO:0005886	P:cardiolipin biosynthetic process; F:CDP-diacylglycerol-serine O-phosphatidyltransferase activity; F:CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity; C:cytosol; C:plasma membrane	EC:2.7; EC:2; EC:2.7.8; EC:2.7.8.5; EC:2.7.8.8	Transferring phosphorus-containing groups; Transferases; Transferring phosphorus-containing groups; CDP-diacylglycerol--glycerol-3-phosphate 1-phosphatidyltransferase; CDP-diacylglycerol--serine O-phosphatidyltransferase	G3DSA:3.30.870.10:FF:000008 (FUNFAM); G3DSA:3.30.870.10:FF:000006 (FUNFAM); IPR001736 (PFAM); PIRSF000850 (PIRSF); IPR025202 (PFAM); G3DSA:3.30.870.10 (GENE3D); NF006946 (NCBIFAM); G3DSA:3.30.870.10 (GENE3D); IPR016270 (PANTHER); IPR001736 (PROSITE_PROFILES); cd09134 (CDD); cd09136 (CDD); SSF56024 (SUPERFAMILY); SSF56024 (SUPERFAMILY)	P:GO:0032049; F:GO:0003824; F:GO:0003882; F:GO:0008444; C:GO:0005829	P:cardiolipin biosynthetic process; F:catalytic activity; F:CDP-diacylglycerol-serine O-phosphatidyltransferase activity; F:CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity; C:cytosol
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_4	20	MULTISPECIES: protein lysine acetyltransferase	2658	0.0	99.73	7	P:GO:0006979; P:GO:0009408; P:GO:0018393; P:GO:0032462; P:GO:0051289; F:GO:0005524; F:GO:0061733	P:response to oxidative stress; P:response to heat; P:internal peptidyl-lysine acetylation; P:regulation of protein homooligomerization; P:protein homotetramerization; F:ATP binding; F:protein-lysine-acetyltransferase activity	EC:2.3; EC:2; EC:2.3.1.48; EC:2.3.1	Acyltransferases; Transferases; histone acetyltransferase; Acyltransferases	G3DSA:3.40.50.261:FF:000009 (FUNFAM); G3DSA:3.30.1490.20:FF:000020 (FUNFAM); G3DSA:3.40.50.720 (GENE3D); IPR032875 (PFAM); IPR013815 (G3DSA:3.30.1490.GENE3D); IPR016102 (G3DSA:3.40.50.GENE3D); PF13549 (PFAM); IPR000182 (PFAM); IPR016102 (G3DSA:3.40.50.GENE3D); G3DSA:3.40.630.30 (GENE3D); IPR003781 (PFAM); G3DSA:3.30.470.20 (GENE3D); PTHR42793 (PANTHER); IPR000182 (PROSITE_PROFILES); cd04301 (CDD); IPR036291 (SUPERFAMILY); IPR016102 (SUPERFAMILY); IPR016181 (SUPERFAMILY); IPR016102 (SUPERFAMILY); SSF56059 (SUPERFAMILY)	F:GO:0005524; F:GO:0016747	F:ATP binding; F:acyltransferase activity, transferring groups other than amino-acyl groups
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_5	20	MULTISPECIES: tRNA-uridine aminocarboxypropyltransferase	699	9.77E-163	98.06	2	P:GO:0008033; F:GO:0016432	P:tRNA processing; F:tRNA-uridine aminocarboxypropyltransferase activity	EC:2.5.1; EC:2.5.1.25; EC:2	Transferring alkyl or aryl groups, other than methyl groups; tRNA-uridine aminocarboxypropyltransferase; Transferases	IPR005636 (PFAM); IPR039262 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_6	20	MULTISPECIES: thioredoxin TrxC	426	2.49E-100	98.72	11	P:GO:0008152; P:GO:0034599; P:GO:0045454; P:GO:0050794; P:GO:0065008; P:GO:0098869; F:GO:0004791; F:GO:0008270; F:GO:0016651; F:GO:0016671; C:GO:0005829	P:metabolic process; P:cellular response to oxidative stress; P:cell redox homeostasis; P:regulation of cellular process; P:regulation of biological quality; P:cellular oxidant detoxification; F:thioredoxin-disulfide reductase (NADPH) activity; F:zinc ion binding; F:oxidoreductase activity, acting on NAD(P)H; F:oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor; C:cytosol	EC:1.8.1; EC:1.6; EC:1; EC:1.8; EC:1.8.4; EC:1.8.1.9; EC:1.8.1.8	Acting on a sulfur group of donors; Acting on NADH or NADPH; Oxidoreductases; Acting on a sulfur group of donors; Acting on a sulfur group of donors; thioredoxin-disulfide reductase (NADPH); protein-disulfide reductase	PR00421 (PRINTS); G3DSA:3.40.30.10:FF:000001 (FUNFAM); G3DSA:2.30.30.380:FF:000002 (FUNFAM); G3DSA:2.30.30.380 (GENE3D); IPR005746 (NCBIFAM); G3DSA:3.40.30.10 (GENE3D); IPR049299 (PFAM); NF008229 (NCBIFAM); IPR013766 (PFAM); PIRSR037293-1 (PIRSR); PIRSR000077-4 (PIRSR); PTHR45663 (PANTHER); IPR013766 (PROSITE_PROFILES); cd02947 (CDD); IPR036249 (SUPERFAMILY)	F:GO:0015035; C:GO:0005737; C:GO:0005829	F:protein-disulfide reductase activity; C:cytoplasm; C:cytosol
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_7	20	MULTISPECIES: tRNA/rRNA methyltransferase	1071	7.6E-245	99.41	4	P:GO:0000451; F:GO:0003723; F:GO:0070039; C:GO:0005829	P:rRNA 2'-O-methylation; F:RNA binding; F:rRNA (guanosine-2'-O-ribose)-methyltransferase activity; C:cytosol	EC:2.1; EC:2; EC:2.1.1	Transferring one-carbon groups; Transferases; Transferring one-carbon groups	G3DSA:3.30.1330.30:FF:000010 (FUNFAM); IPR016479 (PIRSF); IPR029026 (G3DSA:3.40.1280.GENE3D); NF008117 (NCBIFAM); IPR029064 (G3DSA:3.30.1330.GENE3D); IPR013123 (PFAM); IPR001537 (PFAM); PIRSR029256-1 (PIRSR); IPR004441 (PANTHER); cd18095 (CDD); IPR029064 (SUPERFAMILY); IPR029028 (SUPERFAMILY)	P:GO:0006396; F:GO:0003723; F:GO:0008168; F:GO:0008173; C:GO:0005829	P:RNA processing; F:RNA binding; F:methyltransferase activity; F:RNA methyltransferase activity; C:cytosol
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_8	20	MULTISPECIES: uracil-DNA glycosylase	690	6.42E-171	99.69	3	P:GO:0097510; F:GO:0004844; C:GO:0005737	P:base-excision repair, AP site formation via deaminated base removal; F:uracil DNA N-glycosylase activity; C:cytoplasm	EC:3.2; EC:3; EC:3.2.2.27; EC:3.2.2	Glycosylases; Hydrolases; uracil-DNA glycosylase; Glycosylases	G3DSA:3.40.470.10:FF:000001 (FUNFAM); NF003589 (NCBIFAM); NF003591 (NCBIFAM); IPR036895 (G3DSA:3.40.470.GENE3D); IPR005122 (PFAM); NF003588 (NCBIFAM); NF003592 (NCBIFAM); IPR002043 (NCBIFAM); IPR002043 (PANTHER); IPR002043 (HAMAP); IPR002043 (CDD); IPR036895 (SUPERFAMILY)	P:GO:0006281; P:GO:0006284; P:GO:0097510; F:GO:0004844	P:DNA repair; P:base-excision repair; P:base-excision repair, AP site formation via deaminated base removal; F:uracil DNA N-glycosylase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_9	20	MULTISPECIES: autonomous glycyl radical cofactor GrcA	384	2.23E-85	99.92	4	P:GO:0006567; F:GO:0008861; F:GO:0016829; C:GO:0005829	P:L-threonine catabolic process; F:formate C-acetyltransferase activity; F:lyase activity; C:cytosol	EC:2.3.1.54; EC:2.3; EC:2; EC:4; EC:2.3.1	formate C-acetyltransferase; Acyltransferases; Transferases; Lyases; Acyltransferases	G3DSA:3.20.70.20:FF:000002 (FUNFAM); G3DSA:3.20.70.20 (GENE3D); IPR011140 (NCBIFAM); IPR001150 (PFAM); IPR011140 (PIRSF); PIRSR000379-2 (PIRSR); IPR050244 (PANTHER); IPR001150 (PROSITE_PROFILES); IPR011140 (HAMAP); SSF51998 (SUPERFAMILY)	F:GO:0003824; F:GO:0008861; C:GO:0005829	F:catalytic activity; F:formate C-acetyltransferase activity; C:cytosol
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_10	20	MULTISPECIES: ATP-dependent RNA helicase SrmB	1326	8.67E-310	99.37	9	P:GO:0000027; P:GO:0016070; F:GO:0003724; F:GO:0003725; F:GO:0005524; F:GO:0008143; F:GO:0016887; F:GO:0033592; C:GO:0005829	P:ribosomal large subunit assembly; P:RNA metabolic process; F:RNA helicase activity; F:double-stranded RNA binding; F:ATP binding; F:poly(A) binding; F:ATP hydrolysis activity; F:RNA strand annealing activity; C:cytosol	EC:3.6.1; EC:3.6.4.13; EC:3.6; EC:3; EC:5.6; EC:5.6.2; EC:5; EC:3.6.1.15	Acting on acid anhydrides; RNA helicase; Acting on acid anhydrides; Hydrolases; Isomerases altering macromolecular conformation; Isomerases altering macromolecular conformation; Isomerases; nucleoside-triphosphate phosphatase	G3DSA:3.40.50.300:FF:000291 (FUNFAM); G3DSA:3.40.50.300:FF:000555 (FUNFAM); IPR027417 (G3DSA:3.40.50.GENE3D); IPR027417 (G3DSA:3.40.50.GENE3D); IPR011545 (PFAM); NF008394 (NCBIFAM); IPR001650 (PFAM); IPR050079 (PANTHER); IPR028621 (HAMAP); IPR001650 (PROSITE_PROFILES); IPR014001 (PROSITE_PROFILES); IPR014014 (PROSITE_PROFILES); cd00268 (CDD); cd18787 (CDD); IPR027417 (SUPERFAMILY)	P:GO:0000027; F:GO:0003676; F:GO:0003724; F:GO:0005524; C:GO:0005829	P:ribosomal large subunit assembly; F:nucleic acid binding; F:RNA helicase activity; F:ATP binding; C:cytosol
