	Tags	SeqName	#Hits	Description	Length	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_1	20	M28 family metallopeptidase	1713	0.0	94.67	3	P:GO:0006508; F:GO:0004177; F:GO:0008235	P:proteolysis; F:aminopeptidase activity; F:metalloexopeptidase activity	EC:3.4.11; EC:3.4.11.1; EC:3.4.11.6; EC:3.4.11.5; EC:3.4.11.9; EC:3.4; EC:3; EC:3.4.11.21; EC:3.4.11.22	Acting on peptide bonds (peptidases); leucyl aminopeptidase; aminopeptidase B; prolyl aminopeptidase; Xaa-Pro aminopeptidase; Acting on peptide bonds (peptidases); Hydrolases; aspartyl aminopeptidase; aminopeptidase I	G3DSA:3.40.630.10:FF:000088 (FUNFAM); G3DSA:3.40.630.10 (GENE3D); G3DSA:3.50.30.30 (GENE3D); IPR007484 (PFAM); G3DSA:3.40.630.10 (GENE3D); PIRSR036685-1 (PIRSR); IPR045175 (PANTHER); PS51257 (PROSITE_PROFILES); cd04821 (CDD); cd05660 (CDD); SSF53187 (SUPERFAMILY)	P:GO:0006508; F:GO:0008235	P:proteolysis; F:metalloexopeptidase activity
true	[INTERPRO, BLASTED]	contig_1_RagTag_2	20	MULTISPECIES: hypothetical protein	657	4.97E-65	88.17						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_3	20	peptidoglycan DD-metalloendopeptidase family protein	1326	1.61E-266	93.17	10	P:GO:0000920; P:GO:0001896; P:GO:0009273; P:GO:0009314; P:GO:0009410; P:GO:0051345; F:GO:0004222; C:GO:0005886; C:GO:0030288; C:GO:0032153	P:septum digestion after cytokinesis; P:autolysis; P:peptidoglycan-based cell wall biogenesis; P:response to radiation; P:response to xenobiotic stimulus; P:positive regulation of hydrolase activity; F:metalloendopeptidase activity; C:plasma membrane; C:outer membrane-bounded periplasmic space; C:cell division site	EC:3.4.24.61; EC:3.4.24.23; EC:3.4.24.7; EC:3.4.24.24; EC:3.4.24.69; EC:3.4.24.3; EC:3.4.24.21; EC:3.4.24.65; EC:3.4.24.22; EC:3.4.24.17; EC:3.4.24.18; EC:3.4.24.19; EC:3.4.24.70; EC:3.4.24.71; EC:3.4.24.72; EC:3.4.24.34; EC:3.4.24.35; EC:3.4.24.37; EC:3.4.24; EC:3.4; EC:3.4.99; EC:3.4.24.56; EC:3.4.24.57; EC:3.4.24.14; EC:3.4.24.59; EC:3.4.24.11; EC:3.4.24.55; EC:3	nardilysin; matrilysin; interstitial collagenase; gelatinase A; bontoxilysin; microbial collagenase; astacin; macrophage elastase; stromelysin 2; stromelysin 1; meprin A; procollagen C-endopeptidase; oligopeptidase A; endothelin-converting enzyme 1; fibrolase; neutrophil collagenase; gelatinase B; saccharolysin; Acting on peptide bonds (peptidases); Acting on peptide bonds (peptidases); Acting on peptide bonds (peptidases); insulysin; O-sialoglycoprotein endopeptidase; procollagen N-endopeptidase; mitochondrial intermediate peptidase; neprilysin; pitrilysin; Hydrolases	G3DSA:2.70.70.10:FF:000003 (FUNFAM); G3DSA:6.10.250.3150 (GENE3D); IPR011055 (G3DSA:2.70.70.GENE3D); IPR016047 (PFAM); IPR050570 (PANTHER); cd12797 (CDD); IPR011055 (SUPERFAMILY)	F:GO:0004222	F:metalloendopeptidase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_4	20	S41 family peptidase	1821	3.09E-285	96.88	6	P:GO:0006508; P:GO:0007165; F:GO:0004175; F:GO:0005515; F:GO:0008236; C:GO:0030288	P:proteolysis; P:signal transduction; F:endopeptidase activity; F:protein binding; F:serine-type peptidase activity; C:outer membrane-bounded periplasmic space	EC:3.4.99; EC:3.4; EC:3.4.21.102; EC:3	Acting on peptide bonds (peptidases); Acting on peptide bonds (peptidases); C-terminal processing peptidase; Hydrolases	G3DSA:3.90.226.10:FF:000029 (FUNFAM); G3DSA:2.30.42.10:FF:000063 (FUNFAM); IPR036034 (G3DSA:2.30.42.GENE3D); G3DSA:3.30.750.44 (GENE3D); G3DSA:3.90.226.10 (GENE3D); IPR005151 (PFAM); IPR041489 (PFAM); IPR004447 (NCBIFAM); IPR055210 (PFAM); PTHR32060 (PANTHER); IPR001478 (PROSITE_PROFILES); IPR004447 (CDD); cd06782 (CDD); IPR029045 (SUPERFAMILY); IPR036034 (SUPERFAMILY)	P:GO:0006508; P:GO:0007165; F:GO:0004175; F:GO:0005515; F:GO:0008236; C:GO:0030288	P:proteolysis; P:signal transduction; F:endopeptidase activity; F:protein binding; F:serine-type peptidase activity; C:outer membrane-bounded periplasmic space
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_5	20	MULTISPECIES: rhomboid family intramembrane serine protease	693	9.39E-160	96.57	3	P:GO:0006508; F:GO:0004252; C:GO:0016020	P:proteolysis; F:serine-type endopeptidase activity; C:membrane	EC:3.4.21.73; EC:3.4.21.71; EC:3.4.21.34; EC:3.4.21.78; EC:3.4.21.75; EC:3.4.21.26; EC:3.4.21.27; EC:3.4.21.68; EC:3.4.21.69; EC:3.4.21.41; EC:3.4.21.83; EC:3.4.21.88; EC:3.4.21.45; EC:3.4.21.42; EC:3.4.21.43; EC:3.4.21.38; EC:3.4.21.35; EC:3.4.21.79; EC:3.4.21.36; EC:3.4.21.102; EC:3.4.21.39; EC:3.4.21; EC:3.4.21.4; EC:3.4.21.5; EC:3.4.21.92; EC:3.4.21.1; EC:3.4.21.93; EC:3.4.21.94; EC:3.4.21.6; EC:3.4.21.7; EC:3.4.21.53; EC:3.4.21.54; EC:3.4.21.10; EC:3.4.21.9; EC:3.4.21.48; EC:3.4.21.46; EC:3.4.21.47; EC:3.4; EC:3.4.99; EC:3.4.21.62; EC:3.4.21.61; EC:3.4.21.22; EC:3.4.21.20; EC:3.4.21.21; EC:3.4.21.59; EC:3	u-plasminogen activator; pancreatic elastase II; plasma kallikrein; granzyme A; furin; prolyl oligopeptidase; coagulation factor XIa; t-plasminogen activator; protein C (activated); complement subcomponent C1r; oligopeptidase B; repressor LexA; complement factor I; complement subcomponent C1s; classical-complement-pathway C3/C5 convertase; coagulation factor XIIa; tissue kallikrein; granzyme B; pancreatic elastase; C-terminal processing peptidase; chymase; Acting on peptide bonds (peptidases); trypsin; thrombin; endopeptidase Clp; chymotrypsin; proprotein convertase 1; proprotein convertase 2; coagulation factor Xa; plasmin; endopeptidase La; gamma-renin; acrosin; enteropeptidase; cerevisin; complement factor D; alternative-complement-pathway C3/C5 convertase; Acting on peptide bonds (peptidases); Acting on peptide bonds (peptidases); subtilisin; kexin; coagulation factor IXa; cathepsin G; coagulation factor VIIa; tryptase; Hydrolases	G3DSA:1.20.1540.10:FF:000027 (FUNFAM); IPR022764 (PFAM); IPR035952 (G3DSA:1.20.1540.GENE3D); PIRSR037470-50 (PIRSR); PIRSR037023-1 (PIRSR); IPR050925 (PANTHER); IPR035952 (SUPERFAMILY)	F:GO:0004252; C:GO:0016020	F:serine-type endopeptidase activity; C:membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_6	20	outer membrane protein transport protein	1380	0.0	92.06	3	P:GO:0015909; F:GO:0015483; C:GO:0009279	P:long-chain fatty acid transport; F:long-chain fatty acid transporting porin activity; C:cell outer membrane			G3DSA:2.40.160.60 (GENE3D); IPR005017 (PFAM); IPR005017 (PANTHER); SSF56935 (SUPERFAMILY)	F:GO:0015483	F:long-chain fatty acid transporting porin activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_7	20	nicotinamide riboside transporter PnuC	606	3.47E-143	96.84	3	P:GO:0034258; F:GO:0034257; C:GO:0005886	P:nicotinamide riboside transport; F:nicotinamide riboside transmembrane transporter activity; C:plasma membrane			IPR006419 (PFAM); IPR006419 (NCBIFAM); IPR006419 (PANTHER)	P:GO:0034258; F:GO:0034257; C:GO:0016020	P:nicotinamide riboside transport; F:nicotinamide riboside transmembrane transporter activity; C:membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_8	20	bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA	3213	0.0	98.37	7	P:GO:0006355; P:GO:0006562; F:GO:0003677; F:GO:0003700; F:GO:0003842; F:GO:0004657; C:GO:0009898	P:regulation of DNA-templated transcription; P:L-proline catabolic process; F:DNA binding; F:DNA-binding transcription factor activity; F:L-glutamate gamma-semialdehyde dehydrogenase activity; F:proline dehydrogenase activity; C:cytoplasmic side of plasma membrane	EC:1.5.5; EC:1.2; EC:1.2.1.88; EC:1.5; EC:1; EC:1.5.5.2; EC:1.2.1	Acting on the CH-NH group of donors; Acting on the aldehyde or oxo group of donors; L-glutamate gamma-semialdehyde dehydrogenase; Acting on the CH-NH group of donors; Oxidoreductases; proline dehydrogenase; Acting on the aldehyde or oxo group of donors	G3DSA:3.20.20.220:FF:000004 (FUNFAM); G3DSA:1.20.5.460:FF:000001 (FUNFAM); G3DSA:3.40.309.10:FF:000005 (FUNFAM); IPR002872 (PFAM); IPR016162 (G3DSA:3.40.605.GENE3D); IPR016163 (G3DSA:3.40.309.GENE3D); IPR041349 (PFAM); G3DSA:1.20.5.460 (GENE3D); IPR005933 (NCBIFAM); IPR025703 (PIRSF); NF008869 (NCBIFAM); IPR024090 (G3DSA:1.20.5.GENE3D); IPR024082 (PFAM); G3DSA:3.20.20.220 (GENE3D); IPR015590 (PFAM); PIRSR000196-1 (PIRSR); PIRSR036492-1 (PIRSR); PIRSR617656-1 (PIRSR); PIRSR000196-2 (PIRSR); PIRSR000197-1 (PIRSR); PIRSR036489-3 (PIRSR); IPR050485 (PANTHER); cd07125 (CDD); IPR016161 (SUPERFAMILY); IPR024089 (SUPERFAMILY); IPR029041 (SUPERFAMILY)	P:GO:0006355; P:GO:0006561; P:GO:0010133; F:GO:0003700; F:GO:0003842; F:GO:0004657; F:GO:0016491; F:GO:0016620; C:GO:0009898	P:regulation of DNA-templated transcription; P:obsolete proline biosynthetic process; P:obsolete L-proline catabolic process to L-glutamate; F:DNA-binding transcription factor activity; F:L-glutamate gamma-semialdehyde dehydrogenase activity; F:proline dehydrogenase activity; F:oxidoreductase activity; F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; C:cytoplasmic side of plasma membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_9	20	DUF2244 domain-containing protein	474	2.22E-104	92.57	1	C:GO:0016020	C:membrane			IPR019253 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_10	20	MULTISPECIES: cytochrome c oxidase subunit II	951	3.39E-199	96.92	15	P:GO:0006805; P:GO:0009167; P:GO:0016310; P:GO:0040007; P:GO:0042773; P:GO:0046034; P:GO:0051701; P:GO:1902600; F:GO:0004129; F:GO:0005507; F:GO:0016491; C:GO:0005576; C:GO:0005886; C:GO:0009319; C:GO:0042597	P:xenobiotic metabolic process; P:purine ribonucleoside monophosphate metabolic process; P:phosphorylation; P:growth; P:ATP synthesis coupled electron transport; P:ATP metabolic process; P:biological process involved in interaction with host; P:proton transmembrane transport; F:cytochrome-c oxidase activity; F:copper ion binding; F:oxidoreductase activity; C:extracellular region; C:plasma membrane; C:cytochrome o ubiquinol oxidase complex; C:periplasmic space	EC:1; EC:1.9.3.1; EC:7.1.1.9; EC:7	Oxidoreductases; Acting on a heme group of donors; cytochrome-c oxidase; Translocases	PR01166 (PRINTS); IPR008972 (G3DSA:2.60.40.GENE3D); IPR002429 (PFAM); IPR011759 (PFAM); IPR036257 (G3DSA:1.10.287.GENE3D); IPR014222 (NCBIFAM); IPR045187 (PANTHER); IPR011759 (PROSITE_PROFILES); IPR002429 (PROSITE_PROFILES); IPR008972 (SUPERFAMILY); IPR036257 (SUPERFAMILY)	P:GO:0022900; P:GO:0042773; F:GO:0004129; F:GO:0005507; F:GO:0016491; C:GO:0016020	P:electron transport chain; P:ATP synthesis coupled electron transport; F:cytochrome-c oxidase activity; F:copper ion binding; F:oxidoreductase activity; C:membrane
