	Tags	SeqName	#Hits	Description	Length	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED]	contig_1_RagTag_1	20	MULTISPECIES: NETI motif-containing protein	201	1.04E-37	99.92						IPR025930 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_2	20	MULTISPECIES: 5-(carboxyamino)imidazole ribonucleotide mutase	489	5.58E-105	99.51	6	P:GO:0006189; F:GO:0004638; F:GO:0016740; F:GO:0034023; F:GO:0042802; C:GO:0005829	P:'de novo' IMP biosynthetic process; F:phosphoribosylaminoimidazole carboxylase activity; F:transferase activity; F:5-(carboxyamino)imidazole ribonucleotide mutase activity; F:identical protein binding; C:cytosol	EC:4.1.1; EC:4.1; EC:2; EC:5.4; EC:5.4.99.18; EC:4; EC:5; EC:4.1.1.21	Carbon-carbon lyases; Carbon-carbon lyases; Transferases; Intramolecular transferases; 5-(carboxyamino)imidazole ribonucleotide mutase; Lyases; Isomerases; phosphoribosylaminoimidazole carboxylase	G3DSA:3.40.50.1970 (GENE3D); IPR000031 (NCBIFAM); IPR000031 (PFAM); IPR024694 (PIRSF); PIRSR001338-1 (PIRSR); IPR024694 (PANTHER); IPR033747 (HAMAP); SSF52255 (SUPERFAMILY)	P:GO:0006189	P:'de novo' IMP biosynthetic process
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_3	20	phosphoribosylaminoimidazole carboxylase, ATPase subunit	1155	9.8E-278	99.92	6	P:GO:0006189; F:GO:0004638; F:GO:0005524; F:GO:0034028; F:GO:0046872; C:GO:0005829	P:'de novo' IMP biosynthetic process; F:phosphoribosylaminoimidazole carboxylase activity; F:ATP binding; F:5-(carboxyamino)imidazole ribonucleotide synthase activity; F:metal ion binding; C:cytosol	EC:4.1.1; EC:4.1; EC:6.3.4.18; EC:6.3; EC:4; EC:4.1.1.21; EC:6	Carbon-carbon lyases; Carbon-carbon lyases; 5-(carboxyamino)imidazole ribonucleotide synthase; Forming carbon-nitrogen bonds; Lyases; phosphoribosylaminoimidazole carboxylase; Ligases	G3DSA:3.30.1490.20:FF:000015 (FUNFAM); G3DSA:3.30.470.20:FF:000029 (FUNFAM); G3DSA:3.40.50.20:FF:000016 (FUNFAM); IPR013815 (G3DSA:3.30.1490.GENE3D); IPR040686 (PFAM); IPR054350 (PFAM); NF004679 (NCBIFAM); NF004676 (NCBIFAM); NF004675 (NCBIFAM); G3DSA:3.30.470.20 (GENE3D); IPR003135 (PFAM); G3DSA:3.40.50.20 (GENE3D); IPR005875 (NCBIFAM); PIRSR001594-2 (PIRSR); PIRSR039102-3 (PIRSR); PIRSR001594-1 (PIRSR); PTHR11609 (PANTHER); IPR011761 (PROSITE_PROFILES); IPR005875 (HAMAP); SSF56059 (SUPERFAMILY); IPR016185 (SUPERFAMILY); IPR011054 (SUPERFAMILY)	P:GO:0006189; F:GO:0004638; F:GO:0005524; F:GO:0046872; C:GO:0005829	P:'de novo' IMP biosynthetic process; F:phosphoribosylaminoimidazole carboxylase activity; F:ATP binding; F:metal ion binding; C:cytosol
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_4	20	MULTISPECIES: adenylosuccinate lyase	1293	3.82E-312	99.86	6	P:GO:0006189; P:GO:0006805; P:GO:0044208; F:GO:0004018; F:GO:0070626; C:GO:0005829	P:'de novo' IMP biosynthetic process; P:xenobiotic metabolic process; P:'de novo' AMP biosynthetic process; F:N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity; F:(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido) succinate lyase (fumarate-forming) activity; C:cytosol	EC:4.3; EC:4.3.2.2; EC:4; EC:4.3.2	Carbon-nitrogen lyases; adenylosuccinate lyase; Lyases; Carbon-nitrogen lyases	IPR000362 (PRINTS); PR00145 (PRINTS); G3DSA:1.10.40.30:FF:000007 (FUNFAM); G3DSA:1.20.200.10:FF:000008 (FUNFAM); G3DSA:1.10.275.10:FF:000006 (FUNFAM); G3DSA:1.20.200.10 (GENE3D); IPR024083 (G3DSA:1.10.275.GENE3D); IPR004769 (NCBIFAM); G3DSA:1.10.40.30 (GENE3D); IPR019468 (PFAM); IPR022761 (PFAM); PTHR43172 (PANTHER); cd01360 (CDD); IPR008948 (SUPERFAMILY)	P:GO:0009152; P:GO:0044208; F:GO:0003824; F:GO:0004018; F:GO:0070626; C:GO:0005829	P:purine ribonucleotide biosynthetic process; P:'de novo' AMP biosynthetic process; F:catalytic activity; F:N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity; F:(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido) succinate lyase (fumarate-forming) activity; C:cytosol
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_5	20	MULTISPECIES: phosphoribosylaminoimidazolesuccinocarboxamide synthase	708	8.67E-163	99.89	5	P:GO:0006189; P:GO:0009236; F:GO:0004639; F:GO:0005524; C:GO:0005829	P:'de novo' IMP biosynthetic process; P:cobalamin biosynthetic process; F:phosphoribosylaminoimidazolesuccinocarboxamide synthase activity; F:ATP binding; C:cytosol	EC:4.3.2.2; EC:6.3; EC:6.3.2.6; EC:4.1.1.21; EC:6.3.2; EC:6	adenylosuccinate lyase; Forming carbon-nitrogen bonds; phosphoribosylaminoimidazolesuccinocarboxamide synthase; phosphoribosylaminoimidazole carboxylase; Forming carbon-nitrogen bonds; Ligases	G3DSA:3.30.200.20:FF:000189 (FUNFAM); G3DSA:3.30.470.20:FF:000006 (FUNFAM); G3DSA:3.30.200.20 (GENE3D); IPR028923 (PFAM); IPR001636 (NCBIFAM); G3DSA:3.30.470.20 (GENE3D); IPR050089 (PANTHER); IPR028923 (HAMAP); IPR033934 (CDD); SSF56104 (SUPERFAMILY)	P:GO:0006164; P:GO:0009236; F:GO:0004639	P:purine nucleotide biosynthetic process; P:cobalamin biosynthetic process; F:phosphoribosylaminoimidazolesuccinocarboxamide synthase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_6	20	MULTISPECIES: phosphoribosylformylglycinamidine synthase subunit PurS	252	7.16E-48	95.21	4	P:GO:0006189; F:GO:0004642; F:GO:0005524; C:GO:0005737	P:'de novo' IMP biosynthetic process; F:phosphoribosylformylglycinamidine synthase activity; F:ATP binding; C:cytoplasm	EC:6.3; EC:6.3.5.3; EC:6.3.2.6; EC:6; EC:6.3.5	Forming carbon-nitrogen bonds; phosphoribosylformylglycinamidine synthase; phosphoribosylaminoimidazolesuccinocarboxamide synthase; Ligases; Forming carbon-nitrogen bonds	IPR003850 (NCBIFAM); IPR036604 (G3DSA:3.30.1280.GENE3D); IPR003850 (PFAM); NF004630 (NCBIFAM); IPR003850 (PANTHER); IPR003850 (HAMAP); IPR036604 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_7	20	MULTISPECIES: phosphoribosylformylglycinamidine synthase subunit PurQ	687	1.84E-165	99.47	8	P:GO:0006189; P:GO:0006541; P:GO:0040007; F:GO:0004359; F:GO:0004642; F:GO:0005524; C:GO:0005737; C:GO:0005886	P:'de novo' IMP biosynthetic process; P:glutamine metabolic process; P:growth; F:glutaminase activity; F:phosphoribosylformylglycinamidine synthase activity; F:ATP binding; C:cytoplasm; C:plasma membrane	EC:3.5.1.2; EC:3.5.1; EC:6.3; EC:6.3.5.3; EC:3.5; EC:3; EC:6; EC:6.3.5	glutaminase; Acting on carbon-nitrogen bonds, other than peptide bonds; Forming carbon-nitrogen bonds; phosphoribosylformylglycinamidine synthase; Acting on carbon-nitrogen bonds, other than peptide bonds; Hydrolases; Ligases; Forming carbon-nitrogen bonds	G3DSA:3.40.50.880:FF:000019 (FUNFAM); IPR010075 (NCBIFAM); IPR010075 (PIRSF); IPR029062 (G3DSA:3.40.50.GENE3D); PF13507 (PFAM); NF002957 (NCBIFAM); PIRSR615527-1 (PIRSR); PIRSR000495-1 (PIRSR); IPR010075 (PANTHER); IPR010075 (HAMAP); PS51273 (PROSITE_PROFILES); cd01740 (CDD); IPR029062 (SUPERFAMILY)	P:GO:0006189; F:GO:0004642	P:'de novo' IMP biosynthetic process; F:phosphoribosylformylglycinamidine synthase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_8	20	phosphoribosylformylglycinamidine synthase subunit PurL	2232	0.0	99.8	6	P:GO:0006189; P:GO:0040007; F:GO:0000287; F:GO:0004642; F:GO:0005524; C:GO:0005737	P:'de novo' IMP biosynthetic process; P:growth; F:magnesium ion binding; F:phosphoribosylformylglycinamidine synthase activity; F:ATP binding; C:cytoplasm	EC:6.3; EC:6.3.5.3; EC:6; EC:6.3.5	Forming carbon-nitrogen bonds; phosphoribosylformylglycinamidine synthase; Ligases; Forming carbon-nitrogen bonds	G3DSA:3.90.650.10:FF:000009 (FUNFAM); G3DSA:3.30.1330.10:FF:000004 (FUNFAM); IPR010074 (NCBIFAM); IPR010074 (PIRSF); NF002290 (NCBIFAM); IPR041609 (PFAM); IPR016188 (PFAM); IPR036676 (G3DSA:3.90.650.GENE3D); IPR036921 (G3DSA:3.30.1330.GENE3D); IPR036921 (G3DSA:3.30.1330.GENE3D); IPR036676 (G3DSA:3.90.650.GENE3D); IPR010918 (PFAM); IPR010074 (PANTHER); IPR010074 (HAMAP); cd02203 (CDD); cd02204 (CDD); IPR036676 (SUPERFAMILY); IPR036676 (SUPERFAMILY); IPR036921 (SUPERFAMILY); IPR036921 (SUPERFAMILY)	P:GO:0006189; F:GO:0004642	P:'de novo' IMP biosynthetic process; F:phosphoribosylformylglycinamidine synthase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_9	20	MULTISPECIES: amidophosphoribosyltransferase	1416	0.0	98.83	6	P:GO:0006189; P:GO:0009113; F:GO:0000287; F:GO:0004044; F:GO:0051539; C:GO:0009507	P:'de novo' IMP biosynthetic process; P:purine nucleobase biosynthetic process; F:magnesium ion binding; F:amidophosphoribosyltransferase activity; F:4 iron, 4 sulfur cluster binding; C:chloroplast	EC:2.4.2; EC:2.4.2.14; EC:2.4; EC:2	Glycosyltransferases; amidophosphoribosyltransferase; Glycosyltransferases; Transferases	IPR029057 (G3DSA:3.40.50.GENE3D); IPR005854 (NCBIFAM); IPR005854 (PIRSF); IPR000836 (PFAM); IPR029055 (G3DSA:3.60.20.GENE3D); PF13522 (PFAM); PIRSR001589-1 (PIRSR); PIRSR000485-2 (PIRSR); PIRSR001589-2 (PIRSR); PIRSR000485-1 (PIRSR); PIRSR000485-3 (PIRSR); PTHR11907 (PANTHER); IPR017932 (PROSITE_PROFILES); IPR005854 (HAMAP); IPR000836 (CDD); IPR035584 (CDD); IPR029055 (SUPERFAMILY); IPR029057 (SUPERFAMILY)	P:GO:0009113; F:GO:0004044	P:purine nucleobase biosynthetic process; F:amidophosphoribosyltransferase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_10	20	MULTISPECIES: phosphoribosylformylglycinamidine cyclo-ligase	1038	1.43E-248	99.72	6	P:GO:0006189; P:GO:0046084; F:GO:0004637; F:GO:0004641; F:GO:0005524; C:GO:0005829	P:'de novo' IMP biosynthetic process; P:adenine biosynthetic process; F:phosphoribosylamine-glycine ligase activity; F:phosphoribosylformylglycinamidine cyclo-ligase activity; F:ATP binding; C:cytosol	EC:6.3; EC:6.3.4.13; EC:6; EC:6.3.3.1; EC:6.3.3	Forming carbon-nitrogen bonds; phosphoribosylamine--glycine ligase; Ligases; phosphoribosylformylglycinamidine cyclo-ligase; Forming carbon-nitrogen bonds	G3DSA:3.90.650.10:FF:000001 (FUNFAM); G3DSA:3.30.1330.10:FF:000001 (FUNFAM); IPR016188 (PFAM); IPR036921 (G3DSA:3.30.1330.GENE3D); IPR036676 (G3DSA:3.90.650.GENE3D); IPR010918 (PFAM); IPR004733 (NCBIFAM); IPR004733 (PANTHER); IPR004733 (HAMAP); IPR004733 (CDD); IPR036921 (SUPERFAMILY); IPR036676 (SUPERFAMILY)	P:GO:0006164; P:GO:0006189; P:GO:0046084; F:GO:0004637; F:GO:0004641; C:GO:0005829	P:purine nucleotide biosynthetic process; P:'de novo' IMP biosynthetic process; P:adenine biosynthetic process; F:phosphoribosylamine-glycine ligase activity; F:phosphoribosylformylglycinamidine cyclo-ligase activity; C:cytosol
