	Tags	SeqName	#Hits	Description	Length	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_1	20	MULTISPECIES: tyrosine--tRNA ligase	1200	2.95E-282	99.54	7	P:GO:0006437; P:GO:0019752; P:GO:0043043; F:GO:0003723; F:GO:0004831; F:GO:0005524; C:GO:0005829	P:tyrosyl-tRNA aminoacylation; P:carboxylic acid metabolic process; P:peptide biosynthetic process; F:RNA binding; F:tyrosine-tRNA ligase activity; F:ATP binding; C:cytosol	EC:6.1.1.1; EC:6.1; EC:6.1.1; EC:6	tyrosine--tRNA ligase; Forming carbon-oxygen bonds; Forming carbon-oxygen bonds; Ligases	IPR002307 (PRINTS); G3DSA:3.40.50.620:FF:000061 (FUNFAM); G3DSA:1.10.240.10:FF:000006 (FUNFAM); IPR014729 (G3DSA:3.40.50.GENE3D); IPR002307 (NCBIFAM); IPR002942 (PFAM); G3DSA:1.10.240.10 (GENE3D); IPR002305 (PFAM); IPR036986 (G3DSA:3.10.290.GENE3D); IPR024088 (PANTHER); IPR024108 (HAMAP); PS50889 (PROSITE_PROFILES); IPR002307 (CDD); cd00165 (CDD); SSF55174 (SUPERFAMILY); SSF52374 (SUPERFAMILY)	P:GO:0006418; P:GO:0006437; P:GO:0043039; F:GO:0000166; F:GO:0003723; F:GO:0004812; F:GO:0004831; F:GO:0005524; C:GO:0005829	P:tRNA aminoacylation for protein translation; P:tyrosyl-tRNA aminoacylation; P:tRNA aminoacylation; F:nucleotide binding; F:RNA binding; F:aminoacyl-tRNA ligase activity; F:tyrosine-tRNA ligase activity; F:ATP binding; C:cytosol
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_2	20	MULTISPECIES: peptidoglycan DD-metalloendopeptidase family protein	1422	0.0	99.29	3	F:GO:0004222; F:GO:0042834; C:GO:0005886	F:metalloendopeptidase activity; F:peptidoglycan binding; C:plasma membrane	EC:3.4.24.61; EC:3.4.24.23; EC:3.4.24.7; EC:3.4.24.24; EC:3.4.24.69; EC:3.4.24.3; EC:3.4.24.21; EC:3.4.24.65; EC:3.4.24.22; EC:3.4.24.17; EC:3.4.24.18; EC:3.4.24.19; EC:3.4.24.70; EC:3.4.24.71; EC:3.4.24.72; EC:3.4.24.34; EC:3.4.24.35; EC:3.4.24.37; EC:3.4.24; EC:3.4; EC:3.4.99; EC:3.4.24.56; EC:3.4.24.57; EC:3.4.24.14; EC:3.4.24.59; EC:3.4.24.11; EC:3.4.24.55; EC:3	nardilysin; matrilysin; interstitial collagenase; gelatinase A; bontoxilysin; microbial collagenase; astacin; macrophage elastase; stromelysin 2; stromelysin 1; meprin A; procollagen C-endopeptidase; oligopeptidase A; endothelin-converting enzyme 1; fibrolase; neutrophil collagenase; gelatinase B; saccharolysin; Acting on peptide bonds (peptidases); Acting on peptide bonds (peptidases); Acting on peptide bonds (peptidases); insulysin; O-sialoglycoprotein endopeptidase; procollagen N-endopeptidase; mitochondrial intermediate peptidase; neprilysin; pitrilysin; Hydrolases	G3DSA:2.70.70.10:FF:000002 (FUNFAM); IPR011055 (G3DSA:2.70.70.GENE3D); IPR016047 (PFAM); IPR007340 (PFAM); IPR045834 (PFAM); G3DSA:3.10.450.350 (GENE3D); G3DSA:3.10.450.350 (GENE3D); IPR050570 (PANTHER); IPR018392 (PROSITE_PROFILES); cd12797 (CDD); IPR011055 (SUPERFAMILY)	F:GO:0004222; F:GO:0042834	F:metalloendopeptidase activity; F:peptidoglycan binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_3	20	anhydro-N-acetylmuramic acid kinase	1092	1.3E-260	98.17	8	P:GO:0006040; P:GO:0009254; P:GO:0016310; P:GO:0046677; P:GO:0097175; F:GO:0005524; F:GO:0016301; F:GO:0016773	P:amino sugar metabolic process; P:peptidoglycan turnover; P:phosphorylation; P:response to antibiotic; P:1,6-anhydro-N-acetyl-beta-muramic acid catabolic process; F:ATP binding; F:kinase activity; F:phosphotransferase activity, alcohol group as acceptor	EC:2.7.1; EC:2.7; EC:2; EC:4.2.1.126; EC:2.7.1.170	Transferring phosphorus-containing groups; Transferring phosphorus-containing groups; Transferases; N-acetylmuramic acid 6-phosphate etherase; anhydro-N-acetylmuramic acid kinase	G3DSA:3.30.420.40 (GENE3D); G3DSA:3.30.420.40 (GENE3D); NF007139 (NCBIFAM); IPR005338 (PFAM); IPR005338 (PANTHER); IPR005338 (HAMAP); cd24050 (CDD); IPR043129 (SUPERFAMILY)	P:GO:0006040; P:GO:0009254; F:GO:0005524; F:GO:0016773	P:amino sugar metabolic process; P:peptidoglycan turnover; F:ATP binding; F:phosphotransferase activity, alcohol group as acceptor
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_4	20	Iron-sulfur cluster insertion protein ErpA	399	1.8E-91	98.44	10	P:GO:0006790; P:GO:0009060; P:GO:0009061; P:GO:0016226; P:GO:0051604; F:GO:0005506; F:GO:0051537; F:GO:0051539; C:GO:0005829; C:GO:0005886	P:sulfur compound metabolic process; P:aerobic respiration; P:anaerobic respiration; P:iron-sulfur cluster assembly; P:protein maturation; F:iron ion binding; F:2 iron, 2 sulfur cluster binding; F:4 iron, 4 sulfur cluster binding; C:cytosol; C:plasma membrane			G3DSA:2.60.300.12:FF:000002 (FUNFAM); IPR016092 (NCBIFAM); NF010147 (NCBIFAM); IPR035903 (G3DSA:2.60.300.GENE3D); IPR000361 (PFAM); PTHR43011 (PANTHER); IPR023063 (HAMAP); IPR035903 (SUPERFAMILY)	P:GO:0016226; P:GO:0106035; F:GO:0005506; F:GO:0051536; F:GO:0051537; F:GO:0051539; C:GO:0005829	P:iron-sulfur cluster assembly; P:obsolete protein maturation by [4Fe-4S] cluster transfer; F:iron ion binding; F:iron-sulfur cluster binding; F:2 iron, 2 sulfur cluster binding; F:4 iron, 4 sulfur cluster binding; C:cytosol
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_5	20	MULTISPECIES: N-acetyl-gamma-glutamyl-phosphate reductase	1035	1.27E-246	99.71	5	P:GO:0006526; F:GO:0003942; F:GO:0051287; F:GO:0070401; C:GO:0005737	P:L-arginine biosynthetic process; F:N-acetyl-gamma-glutamyl-phosphate reductase activity; F:NAD binding; F:NADP+ binding; C:cytoplasm	EC:1.2.1.38; EC:1.2; EC:1; EC:1.2.1	N-acetyl-gamma-glutamyl-phosphate reductase; Acting on the aldehyde or oxo group of donors; Oxidoreductases; Acting on the aldehyde or oxo group of donors	G3DSA:3.30.360.10:FF:000014 (FUNFAM); G3DSA:3.40.50.720 (GENE3D); IPR000706 (NCBIFAM); G3DSA:3.30.360.10 (GENE3D); PF22698 (PFAM); IPR000534 (PFAM); PIRSR000149-3 (PIRSR); IPR050085 (PANTHER); IPR000706 (HAMAP); cd23934 (CDD); cd17895 (CDD); IPR036291 (SUPERFAMILY); SSF55347 (SUPERFAMILY)	P:GO:0006526; F:GO:0003942; F:GO:0016620; F:GO:0051287; F:GO:0070401	P:L-arginine biosynthetic process; F:N-acetyl-gamma-glutamyl-phosphate reductase activity; F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; F:NAD binding; F:NADP+ binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_6	20	MULTISPECIES: protoporphyrinogen oxidase HemJ	426	2.4E-98	98.72	4	P:GO:0006782; F:GO:0046872; F:GO:0070818; C:GO:0005886	P:protoporphyrinogen IX biosynthetic process; F:metal ion binding; F:protoporphyrinogen oxidase activity; C:plasma membrane	EC:1.3; EC:1	Acting on the CH-CH group of donors; Oxidoreductases	IPR005265 (PIRSF); IPR005265 (NCBIFAM); IPR005265 (PFAM); IPR005265 (PANTHER); IPR005265 (HAMAP)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_7	20	MULTISPECIES: nitronate monooxygenase family protein	957	1.18E-222	98.29	2	F:GO:0018580; F:GO:0051213	F:nitronate monooxygenase activity; F:dioxygenase activity	EC:1.13; EC:1.13.12.16; EC:1; EC:1.13.12	Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2; nitronate monooxygenase; Oxidoreductases; Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2	G3DSA:3.20.20.70:FF:000210 (FUNFAM); IPR013785 (G3DSA:3.20.20.GENE3D); PF03060 (PFAM); PIRSR000235-3 (PIRSR); PTHR42747 (PANTHER); IPR004136 (CDD); SSF51412 (SUPERFAMILY)	F:GO:0018580	F:nitronate monooxygenase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_8	20	MULTISPECIES: SDR family oxidoreductase	783	6.1E-180	99.42	2	F:GO:0016491; C:GO:0016020	F:oxidoreductase activity; C:membrane	EC:1	Oxidoreductases	IPR002347 (PRINTS); IPR002347 (PRINTS); G3DSA:3.40.50.720 (GENE3D); IPR002347 (PFAM); PIRSF000126 (PIRSF); PIRSR611284-1 (PIRSR); PIRSR617711-1 (PIRSR); PIRSR611284-2 (PIRSR); PIRSR000095-1 (PIRSR); PIRSR614007-1 (PIRSR); PIRSR614007-2 (PIRSR); PIRSR617711-2 (PIRSR); PTHR44196 (PANTHER); cd05233 (CDD); IPR036291 (SUPERFAMILY)	C:GO:0016020	C:membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_9	20	MULTISPECIES: histidine triad nucleotide-binding protein	339	6.33E-78	100.0	1	F:GO:0003824	F:catalytic activity			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_10	20	MULTISPECIES: 2-polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone monooxygenase	648	1.4E-149	99.56	4	P:GO:0006744; F:GO:0008682; F:GO:0046872; C:GO:0005886	P:ubiquinone biosynthetic process; F:3-demethoxyubiquinol 3-hydroxylase activity; F:metal ion binding; C:plasma membrane	EC:1.14.99.60; EC:1; EC:1.14	3-demethoxyubiquinol 3-hydroxylase; Oxidoreductases; Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2	G3DSA:1.20.1260.10:FF:000013 (FUNFAM); PF03232 (PFAM); IPR012347 (G3DSA:1.20.1260.GENE3D); IPR047809 (NCBIFAM); IPR011566 (PANTHER); IPR011566 (HAMAP); IPR011566 (CDD); IPR009078 (SUPERFAMILY)	P:GO:0006744; F:GO:0004497	P:ubiquinone biosynthetic process; F:monooxygenase activity
