	Tags	SeqName	#Hits	Description	Length	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED]	contig_2_RagTag_1	20	hypothetical protein SRABI80_02956	879	1.21E-211	99.91						IPR043519 (G3DSA:3.30.460.GENE3D); G3DSA:1.20.120.330 (GENE3D); IPR054515 (PFAM); IPR036388 (G3DSA:1.10.10.GENE3D); IPR041143 (PFAM); IPR029348 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_2_RagTag_2	20	MULTISPECIES: YgzB family protein	354	1.76E-75	97.85	1	C:GO:0005886	C:plasma membrane			IPR020912 (PFAM); NF002796 (NCBIFAM); IPR020912 (HAMAP)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	contig_2_RagTag_3	20	MULTISPECIES: peroxide-responsive transcriptional repressor PerR	438	4.57E-103	98.9	11	P:GO:0010628; P:GO:0010629; P:GO:0045892; P:GO:0045893; P:GO:1900376; F:GO:0000976; F:GO:0001216; F:GO:0001217; F:GO:0008270; F:GO:1901363; C:GO:0032993	P:positive regulation of gene expression; P:negative regulation of gene expression; P:negative regulation of DNA-templated transcription; P:positive regulation of DNA-templated transcription; P:regulation of secondary metabolite biosynthetic process; F:transcription cis-regulatory region binding; F:DNA-binding transcription activator activity; F:DNA-binding transcription repressor activity; F:zinc ion binding; F:heterocyclic compound binding; C:protein-DNA complex			G3DSA:3.30.1490.190:FF:000003 (FUNFAM); IPR036388 (G3DSA:1.10.10.GENE3D); IPR043135 (G3DSA:3.30.1490.GENE3D); IPR002481 (PFAM); PIRSR602481-2 (PIRSR); PIRSR602481-1 (PIRSR); IPR002481 (PANTHER); IPR002481 (CDD); IPR036390 (SUPERFAMILY)	P:GO:0006355; P:GO:0045892; P:GO:1900376; F:GO:0000976; F:GO:0003700; F:GO:0008270	P:regulation of DNA-templated transcription; P:negative regulation of DNA-templated transcription; P:regulation of secondary metabolite biosynthetic process; F:transcription cis-regulatory region binding; F:DNA-binding transcription factor activity; F:zinc ion binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_2_RagTag_4	20	MULTISPECIES: D-2-hydroxyacid dehydrogenase	945	4.1E-221	98.3	2	F:GO:0016616; F:GO:0051287	F:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; F:NAD binding	EC:1.1; EC:1; EC:1.1.1.399; EC:1.1.1; EC:1.1.1.95	Acting on the CH-OH group of donors; Oxidoreductases; 2-oxoglutarate reductase; Acting on the CH-OH group of donors; phosphoglycerate dehydrogenase	G3DSA:3.40.50.720:FF:000363 (FUNFAM); G3DSA:3.40.50.720 (GENE3D); G3DSA:3.40.50.720 (GENE3D); IPR006140 (PFAM); IPR006139 (PFAM); PIRSR000445-3 (PIRSR); PTHR43333 (PANTHER); cd05300 (CDD); IPR036291 (SUPERFAMILY); SSF52283 (SUPERFAMILY)	F:GO:0016616; F:GO:0051287	F:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; F:NAD binding
true	[INTERPRO, BLASTED, ANNOTATED]	contig_2_RagTag_5	20	aminopeptidase	1110	4.24E-269	99.47	2	P:GO:0006508; F:GO:0004177	P:proteolysis; F:aminopeptidase activity	EC:3.4.11; EC:3.4; EC:3.4.11.1; EC:3; EC:3.4.11.21; EC:3.4.11.22; EC:3.4.11.6; EC:3.4.11.5; EC:3.4.11.9	Acting on peptide bonds (peptidases); Acting on peptide bonds (peptidases); leucyl aminopeptidase; Hydrolases; aspartyl aminopeptidase; aminopeptidase I; aminopeptidase B; prolyl aminopeptidase; Xaa-Pro aminopeptidase	IPR035097 (G3DSA:3.40.1830.GENE3D); IPR000787 (PFAM); IPR052170 (PANTHER); SSF144052 (SUPERFAMILY)	P:GO:0006508; F:GO:0004177	P:proteolysis; F:aminopeptidase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_2_RagTag_6	20	MULTISPECIES: thioredoxin-dependent thiol peroxidase	471	6.64E-110	99.55	9	P:GO:0008152; P:GO:0034599; P:GO:0045454; P:GO:0050794; P:GO:0065008; P:GO:0098869; F:GO:0008379; C:GO:0005634; C:GO:0005737	P:metabolic process; P:cellular response to oxidative stress; P:cell redox homeostasis; P:regulation of cellular process; P:regulation of biological quality; P:cellular oxidant detoxification; F:thioredoxin peroxidase activity; C:nucleus; C:cytoplasm	EC:1.11; EC:1; EC:1.11.1.24; EC:1.11.1; EC:1.11.1.15	Acting on a peroxide as acceptor; Oxidoreductases; thioredoxin-dependent peroxiredoxin; Acting on a peroxide as acceptor; Acting on a peroxide as acceptor	G3DSA:3.40.30.10:FF:000007 (FUNFAM); NF006960 (NCBIFAM); IPR000866 (PFAM); G3DSA:3.40.30.10 (GENE3D); IPR024706 (PIRSF); PIRSR037736-1 (PIRSR); PIRSR000239-1 (PIRSR); PIRSR637944-1 (PIRSR); IPR050924 (PANTHER); IPR013766 (PROSITE_PROFILES); cd03017 (CDD); IPR036249 (SUPERFAMILY)	P:GO:0034599; P:GO:0045454; F:GO:0008379; F:GO:0016209; F:GO:0016491; C:GO:0005737	P:cellular response to oxidative stress; P:cell redox homeostasis; F:thioredoxin peroxidase activity; F:antioxidant activity; F:oxidoreductase activity; C:cytoplasm
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_2_RagTag_7	20	potassium channel LctB	381	1.91E-81	96.78	2	P:GO:0034220; C:GO:0016020	P:monoatomic ion transmembrane transport; C:membrane			G3DSA:1.10.287.70 (GENE3D); IPR013099 (PFAM); SSF81324 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	contig_2_RagTag_8	20	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	2301	0.0	99.44	15	P:GO:0000097; P:GO:0006479; P:GO:0006555; P:GO:0009067; P:GO:0035999; P:GO:0040007; P:GO:0050667; F:GO:0003871; F:GO:0008270; F:GO:0008276; F:GO:0008705; C:GO:0005576; C:GO:0005618; C:GO:0005829; C:GO:0005886	P:sulfur amino acid biosynthetic process; P:protein methylation; P:methionine metabolic process; P:aspartate family amino acid biosynthetic process; P:tetrahydrofolate interconversion; P:growth; P:homocysteine metabolic process; F:5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity; F:zinc ion binding; F:protein methyltransferase activity; F:methionine synthase activity; C:extracellular region; C:cell wall; C:cytosol; C:plasma membrane	EC:2.1.1.13; EC:2.1; EC:2.1.1.14; EC:2; EC:2.1.1	methionine synthase; Transferring one-carbon groups; 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase; Transferases; Transferring one-carbon groups	IPR038071 (G3DSA:3.20.20.GENE3D); IPR002629 (PFAM); IPR038071 (G3DSA:3.20.20.GENE3D); IPR006276 (NCBIFAM); IPR013215 (PFAM); NF003556 (NCBIFAM); IPR006276 (PIRSF); PIRSR000382-1 (PIRSR); PIRSR000382-2 (PIRSR); PIRSR000382-3 (PIRSR); PTHR30519 (PANTHER); IPR006276 (HAMAP); IPR002629 (CDD); cd03312 (CDD); IPR038071 (SUPERFAMILY); IPR038071 (SUPERFAMILY)	P:GO:0008652; P:GO:0009086; F:GO:0003871; F:GO:0008270	P:amino acid biosynthetic process; P:obsolete methionine biosynthetic process; F:5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity; F:zinc ion binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_2_RagTag_9	20	acyl-CoA thioesterase	366	1.03E-77	99.63	4	P:GO:0006637; P:GO:0009062; F:GO:0052816; C:GO:0005829	P:acyl-CoA metabolic process; P:fatty acid catabolic process; F:long-chain fatty acyl-CoA hydrolase activity; C:cytosol	EC:3.1; EC:3; EC:3.1.2.20; EC:3.1.2	Acting on ester bonds; Hydrolases; acyl-CoA hydrolase; Acting on ester bonds	IPR006683 (PFAM); G3DSA:3.10.129.10 (GENE3D); IPR040170 (PANTHER); IPR033120 (PROSITE_PROFILES); cd03442 (CDD); IPR029069 (SUPERFAMILY)	P:GO:0006637; P:GO:0009062; F:GO:0016790; F:GO:0052816; C:GO:0005737; C:GO:0005829	P:acyl-CoA metabolic process; P:fatty acid catabolic process; F:thiolester hydrolase activity; F:long-chain fatty acyl-CoA hydrolase activity; C:cytoplasm; C:cytosol
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_2_RagTag_10	20	MULTISPECIES: ABC-2 family transporter protein	786	2.46E-175	99.41	1	C:GO:0016020	C:membrane			IPR010390 (PFAM); PTHR36833 (PANTHER)	no GO terms	no GO terms
