	Tags	SeqName	#Hits	Description	Length	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_1	20	type IV secretory system conjugative DNA transfer family protein	936	1.78E-200	97.21	1	C:GO:0005886	C:plasma membrane			cd01127 (CDD)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	contig_1_RagTag_2	13	Retron-type RNA-directed DNA polymerase	114	3.56E-9	80.11						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	contig_1_RagTag_3	20	group II intron reverse transcriptase/maturase	756	4.69E-154	99.74						IPR000477 (PFAM); IPR051083 (PANTHER); IPR000477 (PROSITE_PROFILES); cd01651 (CDD); IPR043502 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	contig_1_RagTag_4	20	reverse transcriptase domain-containing protein	1356	0.0	65.01				EC:1.14.19.3	acyl-CoA 6-desaturase	IPR013597 (PFAM); IPR000477 (PFAM); IPR051083 (PANTHER); IPR000477 (PROSITE_PROFILES); IPR043502 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	contig_1_RagTag_5	20	C40 family peptidase	471	3.84E-109	99.39						IPR000064 (PFAM); G3DSA:3.90.1720.10 (GENE3D); IPR051202 (PANTHER); IPR000064 (PROSITE_PROFILES); IPR038765 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	contig_1_RagTag_6	20	MerR family transcriptional regulator	582	1.78E-123	98.42						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	contig_1_RagTag_7	20	hypothetical protein AMS61_26485	885	4.27E-179	96.12						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	contig_10_RagTag_1	20	hypothetical protein	315	9.28E-65	95.72						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_10_RagTag_2	20	hypothetical protein	351	6.67E-75	98.27	1	C:GO:0016020	C:membrane			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	contig_10_RagTag_3	20	hypothetical protein	207	5.72E-36	98.82						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	contig_10_RagTag_4	20	hypothetical protein	1185	2.72E-280	99.62						G3DSA:3.30.420.40 (GENE3D); IPR054368 (PFAM); cd24023 (CDD)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	contig_10_RagTag_5	20	hypothetical protein	381	9.48E-82	97.74						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	contig_10_RagTag_6	20	HAD family hydrolase	828	3.4E-189	98.81	3	F:GO:0000287; F:GO:0016791; C:GO:0005829	F:magnesium ion binding; F:phosphatase activity; C:cytosol	EC:3.1; EC:3; EC:3.1.3	Acting on ester bonds; Hydrolases; Acting on ester bonds	IPR006379 (NCBIFAM); IPR000150 (NCBIFAM); IPR023214 (G3DSA:3.40.50.GENE3D); G3DSA:3.30.1240.10 (GENE3D); PF08282 (PFAM); PIRSR605002-3 (PIRSR); SFLDS00003 (SFLD); PIRSR604469-1 (PIRSR); PIRSR605002-1 (PIRSR); PIRSR006118-2 (PIRSR); SFLDG01140 (SFLD); PTHR10000 (PANTHER); cd07516 (CDD); IPR036412 (SUPERFAMILY)	F:GO:0000287; F:GO:0016787; F:GO:0016791; C:GO:0005829	F:magnesium ion binding; F:hydrolase activity; F:phosphatase activity; C:cytosol
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_10_RagTag_7	20	SIS domain-containing protein	1014	1.59E-241	95.12	6	P:GO:0006002; P:GO:0006047; P:GO:0006487; F:GO:0004360; F:GO:0016787; F:GO:0097367	P:fructose 6-phosphate metabolic process; P:UDP-N-acetylglucosamine metabolic process; P:protein N-linked glycosylation; F:glutamine-fructose-6-phosphate transaminase (isomerizing) activity; F:hydrolase activity; F:carbohydrate derivative binding	EC:2.6.1; EC:2; EC:3; EC:2.6; EC:2.6.1.16	Transferring nitrogenous groups; Transferases; Hydrolases; Transferring nitrogenous groups; glutamine--fructose-6-phosphate transaminase (isomerizing)	IPR001347 (PFAM); G3DSA:3.40.50.10490 (GENE3D); IPR024713 (PIRSF); G3DSA:3.40.50.10490 (GENE3D); PIRSR004692-2 (PIRSR); PTHR10937 (PANTHER); IPR001347 (PROSITE_PROFILES); IPR035490 (CDD); IPR035488 (CDD); IPR046348 (SUPERFAMILY)	P:GO:0006002; P:GO:0006047; P:GO:0006487; P:GO:1901135; F:GO:0004360; F:GO:0097367	P:fructose 6-phosphate metabolic process; P:UDP-N-acetylglucosamine metabolic process; P:protein N-linked glycosylation; P:carbohydrate derivative metabolic process; F:glutamine-fructose-6-phosphate transaminase (isomerizing) activity; F:carbohydrate derivative binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_10_RagTag_8	20	hypothetical protein SRABI82_04795	855	3.84E-195	97.12	1	C:GO:0005886	C:plasma membrane			IPR019264 (PFAM); IPR003740 (PIRSF); IPR003740 (PFAM); IPR015867 (G3DSA:3.30.70.GENE3D); IPR051461 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_10_RagTag_9	20	transporter substrate-binding domain-containing protein	798	3.55E-186	92.96	3	P:GO:0034220; F:GO:0015276; C:GO:0016020	P:monoatomic ion transmembrane transport; F:ligand-gated monoatomic ion channel activity; C:membrane			G3DSA:3.40.190.10 (GENE3D); IPR001638 (PFAM); G3DSA:3.40.190.10 (GENE3D); PTHR35936 (PANTHER); PS51257 (PROSITE_PROFILES); cd13530 (CDD); SSF53850 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_10_RagTag_10	20	amino acid ABC transporter permease	675	5.39E-147	90.47	5	P:GO:0006865; P:GO:0055085; P:GO:0071705; F:GO:0022857; C:GO:0043190	P:amino acid transport; P:transmembrane transport; P:nitrogen compound transport; F:transmembrane transporter activity; C:ATP-binding cassette (ABC) transporter complex			G3DSA:1.10.3720.10:FF:000033 (FUNFAM); IPR000515 (PFAM); IPR035906 (G3DSA:1.10.3720.GENE3D); IPR010065 (NCBIFAM); IPR043429 (PANTHER); IPR000515 (PROSITE_PROFILES); IPR000515 (CDD); IPR035906 (SUPERFAMILY)	P:GO:0006865; P:GO:0055085; P:GO:0071705; F:GO:0022857; C:GO:0005886; C:GO:0016020; C:GO:0043190	P:amino acid transport; P:transmembrane transport; P:nitrogen compound transport; F:transmembrane transporter activity; C:plasma membrane; C:membrane; C:ATP-binding cassette (ABC) transporter complex
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_10_RagTag_11	20	amino acid ABC transporter ATP-binding protein	522	4.1E-115	92.59	5	P:GO:0003333; F:GO:0005524; F:GO:0015424; F:GO:0016887; C:GO:0005886	P:amino acid transmembrane transport; F:ATP binding; F:ABC-type amino acid transporter activity; F:ATP hydrolysis activity; C:plasma membrane	EC:3.6.1; EC:3.6; EC:3; EC:7.2.2; EC:7; EC:3.6.1.15	Acting on acid anhydrides; Acting on acid anhydrides; Hydrolases; Catalysing the translocation of inorganic cations; Translocases; nucleoside-triphosphate phosphatase	IPR003439 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); IPR050086 (PANTHER); IPR003439 (PROSITE_PROFILES); IPR027417 (SUPERFAMILY)	F:GO:0005524; F:GO:0016887	F:ATP binding; F:ATP hydrolysis activity
true	[INTERPRO, BLASTED]	contig_11_RagTag_1	20	hypothetical protein	285	9.05E-53	97.8						PIRSR002900-1 (PIRSR)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	contig_11_RagTag_2	20	cupin domain-containing protein	366	3.24E-82	96.39						IPR013096 (PFAM); IPR014710 (G3DSA:2.60.120.GENE3D); PIRSR601929-2 (PIRSR); PIRSR601929-1 (PIRSR); IPR052044 (PANTHER); cd02226 (CDD); IPR011051 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	contig_11_RagTag_3	20	guided entry of tail-anchored proteins factor 1	1032	2.49E-193	95.63						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	contig_11_RagTag_4	20	hypothetical protein SRABI82_05319	990	8.06E-231	98.33						G3DSA:3.40.1360.10 (GENE3D); PF13155 (PFAM); IPR025054 (PFAM); SSF57783 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	contig_11_RagTag_5	20	restriction endonuclease	660	1.54E-144	98.07	6	P:GO:0006265; P:GO:0009307; F:GO:0003677; F:GO:0003916; F:GO:0015666; C:GO:0005694	P:DNA topological change; P:DNA restriction-modification system; F:DNA binding; F:DNA topoisomerase activity; F:restriction endodeoxyribonuclease activity; C:chromosome	EC:3.1; EC:3; EC:5.6; EC:5; EC:5.6.2	Acting on ester bonds; Hydrolases; Isomerases altering macromolecular conformation; Isomerases; Isomerases altering macromolecular conformation	G3DSA:3.30.65.10 (GENE3D); IPR007560 (PFAM); IPR011856 (G3DSA:3.40.1350.GENE3D); IPR013498 (PFAM); IPR052906 (PANTHER); IPR011335 (SUPERFAMILY); SSF57783 (SUPERFAMILY)	P:GO:0006265; P:GO:0009307; F:GO:0003676; F:GO:0003677; F:GO:0003916; F:GO:0004519; F:GO:0015666; C:GO:0005694	P:DNA topological change; P:DNA restriction-modification system; F:nucleic acid binding; F:DNA binding; F:DNA topoisomerase activity; F:endonuclease activity; F:restriction endodeoxyribonuclease activity; C:chromosome
true	[INTERPRO, BLASTED]	contig_11_RagTag_6	20	hypothetical protein	561	7.65E-126	92.19						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	contig_11_RagTag_7	20	L,D-transpeptidase	561	3.38E-129	98.63	4	P:GO:0018104; F:GO:0016740; F:GO:0071972; C:GO:0005576	P:peptidoglycan-protein cross-linking; F:transferase activity; F:peptidoglycan L,D-transpeptidase activity; C:extracellular region	EC:3.4.17.11; EC:3.4; EC:2; EC:3.4.16; EC:3; EC:3.4.16.2; EC:3.4.16.6; EC:3.4.16.5	glutamate carboxypeptidase; Acting on peptide bonds (peptidases); Transferases; Acting on peptide bonds (peptidases); Hydrolases; lysosomal Pro-Xaa carboxypeptidase; carboxypeptidase D; carboxypeptidase C	G3DSA:2.40.440.10:FF:000003 (FUNFAM); IPR038063 (G3DSA:2.40.440.GENE3D); IPR005490 (PFAM); IPR050979 (PANTHER); IPR005490 (PROSITE_PROFILES); IPR005490 (CDD); IPR038063 (SUPERFAMILY)	P:GO:0018104; F:GO:0016740; F:GO:0071972; C:GO:0005576	P:peptidoglycan-protein cross-linking; F:transferase activity; F:peptidoglycan L,D-transpeptidase activity; C:extracellular region
true	[INTERPRO, BLASTED]	contig_11_RagTag_8	20	MULTISPECIES: hypothetical protein	219	1.56E-46	98.89						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	contig_11_RagTag_9	20	hypothetical protein, partial	315	8.24E-68	97.12						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	contig_11_RagTag_10	20	hypothetical protein	612	2.16E-138	87.36						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	contig_11_RagTag_11	20	zinc-ribbon domain-containing protein	2634	0.0	84.34						IPR025487 (PFAM); G3DSA:3.40.960.10 (GENE3D); PTHR37317 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	contig_11_RagTag_12	20	hypothetical protein CN955_21385	183	5.77E-28	85.75						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	contig_11_RagTag_13	20	AAA family ATPase	1494	2.44E-197	59.36						IPR041685 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); IPR014592 (PIRSF); IPR022532 (PFAM); IPR051396 (PANTHER); IPR027417 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	contig_11_RagTag_14	20	hypothetical protein	816	8.95E-77	51.92						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	contig_11_RagTag_15	20	hypothetical protein	1479	2.89E-253	79.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	contig_11_RagTag_16		-	243								no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	contig_11_RagTag_17	5	hypothetical protein	504	2.5E-99	67.6						no IPS match	no IPS match	no IPS match
