	Tags	SeqName	#Hits	Description	Length	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_2_RagTag_1	20	MULTISPECIES: paraquat-inducible protein A	657	8.97E-143	90.27	1	C:GO:0016020	C:membrane			IPR007498 (PFAM); IPR051800 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_2_RagTag_2	20	MULTISPECIES: paraquat-inducible protein A	624	4.66E-135	92.97	2	P:GO:0009408; C:GO:0005886	P:response to heat; C:plasma membrane			IPR007498 (PFAM); IPR051800 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_2_RagTag_3	20	MULTISPECIES: MlaD family protein	2310	0.0	89.06	4	P:GO:0120009; F:GO:0042802; C:GO:0005886; C:GO:0030288	P:intermembrane lipid transfer; F:identical protein binding; C:plasma membrane; C:outer membrane-bounded periplasmic space			IPR003399 (PFAM); IPR051800 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED]	contig_2_RagTag_4	20	CatB-related O-acetyltransferase	702	8.41E-80	68.75	5	P:GO:0009245; P:GO:0046677; F:GO:0016740; F:GO:0016746; C:GO:0016020	P:lipid A biosynthetic process; P:response to antibiotic; F:transferase activity; F:acyltransferase activity; C:membrane	EC:2.3.1.28	chloramphenicol O-acetyltransferase	G3DSA:2.160.10.10 (GENE3D); IPR001451 (PFAM); IPR050179 (PANTHER); cd03349 (CDD); IPR011004 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_2_RagTag_5	20	DapH/DapD/GlmU-related protein	564	2.92E-91	76.25	2	F:GO:0009001; C:GO:0005737	F:L-serine O-acetyltransferase activity; C:cytoplasm	EC:2.3.1.30; EC:2.3; EC:2; EC:2.3.1	serine O-acetyltransferase; Acyltransferases; Transferases; Acyltransferases	G3DSA:2.160.10.10 (GENE3D); IPR005881 (PIRSF); PTHR42811 (PANTHER); IPR045304 (CDD); IPR011004 (SUPERFAMILY)	P:GO:0006535; F:GO:0009001; C:GO:0005737	P:obsolete L-cysteine biosynthetic process from L-serine; F:L-serine O-acetyltransferase activity; C:cytoplasm
true	[INTERPRO, BLASTED]	contig_2_RagTag_6	20	MULTISPECIES: Mks condensin complex protein MksF	2814	0.0	96.1						IPR047714 (NCBIFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	contig_2_RagTag_7	20	MULTISPECIES: Mks condensin complex protein MksE	696	2.39E-158	96.17						IPR053841 (PFAM); IPR042038 (G3DSA:1.10.10.GENE3D); IPR047723 (NCBIFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	contig_2_RagTag_8	20	hypothetical protein	1242	1.34E-276	95.54						IPR047720 (NCBIFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_2_RagTag_9	20	carboxynorspermidine decarboxylase	1098	3.42E-257	96.78	7	P:GO:0008295; P:GO:0044010; P:GO:0045312; F:GO:0008836; F:GO:0030170; F:GO:0042803; C:GO:0005737	P:spermidine biosynthetic process; P:single-species biofilm formation; P:nor-spermidine biosynthetic process; F:diaminopimelate decarboxylase activity; F:pyridoxal phosphate binding; F:protein homodimerization activity; C:cytoplasm	EC:4.1.1; EC:4.1; EC:4.1.1.20; EC:4; EC:4.1.1.96	Carbon-carbon lyases; Carbon-carbon lyases; diaminopimelate decarboxylase; Lyases; carboxynorspermidine decarboxylase	IPR005730 (PIRSF); IPR009006 (G3DSA:2.40.37.GENE3D); IPR029066 (G3DSA:3.20.20.GENE3D); IPR022643 (PFAM); PIRSR038941-1 (PIRSR); PTHR43727 (PANTHER); IPR005730 (CDD); IPR029066 (SUPERFAMILY); IPR009006 (SUPERFAMILY)	P:GO:0009089; P:GO:0045312; F:GO:0003824; F:GO:0008836; F:GO:0016831	P:obsolete L-lysine biosynthetic process via diaminopimelate; P:nor-spermidine biosynthetic process; F:catalytic activity; F:diaminopimelate decarboxylase activity; F:carboxy-lyase activity
true	[INTERPRO, BLASTED]	contig_2_RagTag_10	20	saccharopine dehydrogenase family protein	1245	1.34E-297	97.71				EC:1.5.1.7; EC:1.5.1.43	saccharopine dehydrogenase (NAD(+), L-lysine-forming); carboxynorspermidine synthase	G3DSA:3.30.360.10 (GENE3D); IPR032095 (PFAM); G3DSA:3.40.50.720 (GENE3D); IPR005097 (PFAM); PIRSR000445-3 (PIRSR); PTHR43796 (PANTHER); IPR036291 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	contig_2_RagTag_11	20	energy transducer TonB	762	9.42E-148	83.57						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_2_RagTag_12	20	MULTISPECIES: ribosomal protein S18-alanine N-acetyltransferase	453	1.31E-104	93.67	4	P:GO:0006474; F:GO:0008999; C:GO:0005737; C:GO:0005840	P:N-terminal protein amino acid acetylation; F:protein-N-terminal-alanine acetyltransferase activity; C:cytoplasm; C:ribosome	EC:2.3; EC:2; EC:2.3.1.266; EC:2.3.1.255; EC:2.3.1.267; EC:2.3.1.128; EC:2.3.1	Acyltransferases; Transferases; [ribosomal protein bS18]-alanine N-acetyltransferase; N-terminal amino-acid N(alpha)-acetyltransferase NatA; [ribosomal protein uS5]-alanine N-acetyltransferase; Acyltransferases; Acyltransferases	IPR000182 (PFAM); IPR006464 (NCBIFAM); G3DSA:3.40.630.30 (GENE3D); IPR050680 (PANTHER); IPR000182 (PROSITE_PROFILES); IPR043690 (HAMAP); cd04301 (CDD); IPR016181 (SUPERFAMILY)	P:GO:0006474; F:GO:0008080; F:GO:0016747	P:N-terminal protein amino acid acetylation; F:N-acetyltransferase activity; F:acyltransferase activity, transferring groups other than amino-acyl groups
